,acres,price,road_gis_percent,lake_percent,river_percent,flood_per,long_centroid,lat_centroid,baths,improvval
0,35.62,298999.0,49.27047215004802,0.0,0.0,28.89682810536593,-99.6599143423447,32.4438398,,64288.0
1,62.27,2950000.0,80.74961184763015,0.0,0.0,52.57804171517024,-99.71570833322572,32.48978335,,25126.0
2,14.09,399900.0,83.37495319200748,0.0,0.0,1.0024234778967764,-99.76137922379684,32.2618228,2.0,224354.0
3,10.0,520000.0,18.19942459768984,0.0,0.0,0.0,-98.1609981125426,26.31838145,3.0,
4,55.47,1650000.0,13.62031960344689,0.0,0.0,0.0,-98.12815110738168,26.43111095,2.0,
5,20.0,1200000.0,54.13984570240895,0.0,0.0,31.573331652095334,-102.39283418962464,31.89970959835394,,220126.0
6,80.97,1850000.0,34.99141067614399,0.0,0.0,0.0,-95.9864390735482,29.6019986,,250.0
7,55.4,1390000.0,14.003210069474925,0.0,0.0,0.0,-95.78583128388996,29.3502866,,0.0
8,10.92,1100000.0,18.28599427395868,0.0,0.0,77.9359776870663,-95.88323680606383,29.5338678,,230060.0
9,10.26,598000.0,12.76161629007538,0.0,0.0,0.0,-95.86184380528678,29.55255405,2.0,80120.0
10,38.56,1122000.0,50.80356183669829,0.0,0.0,0.0,-95.89543605801754,29.578631100000003,,5510.0
11,141.88,4540128.0,31.91391275782567,0.0,0.0,0.0,-95.82493275855684,29.39609965,2.0,0.0
12,13.93,289900.0,49.75115778382195,0.0,0.0,0.0,-94.35326430886656,32.4507667,2.0,76760.0
13,40.0,299900.0,19.700640511668777,0.0,0.0,0.0,-94.541023060011,32.4832036,3.0,74460.0
14,81.96,789900.0,11.894792528316694,0.0,0.0,40.96322072742304,-94.16612890359136,32.5018632,1.0,266160.0
15,31.25,1399000.0,43.12247883254559,0.0,0.0,0.0,-95.78640585267064,29.3601665,,0.0
16,102.43,1116487.0,99.67275367481037,0.0,0.0,0.0,-97.92780691616689,26.08258415,,
17,28.45,4100000.0,92.9457652661034,0.0,0.0,0.0,-98.24561912834656,26.31503665,5.0,
18,71.32,1569040.0,52.44023691700537,0.0,0.0,0.0,-97.94022812435634,26.0883634,,
19,10.13,2500000.0,11.705231589328298,0.0,0.0,0.0,-98.21937267782664,26.2798715,5.0,
20,10.6,4750000.0,91.9999364171604,0.0,0.0,0.0,-97.06932773339926,33.15777235,,
21,49.8,4340318.0,52.6771341990347,0.0,0.0,0.0,-97.21061050746718,33.121107249999994,,
22,14.96,2700000.0,11.62141103808941,0.0,0.0,0.0,-98.1538666142306,26.33375835,,
23,12.87,4000000.0,28.39420744202182,0.0,0.0,0.0,-98.15867586647208,26.32837835,,
24,19.67,1500000.0,44.66550940745893,0.0,0.0,0.0,-98.22935366362626,26.3087585,5.0,
25,17.3,997.0,34.88651781615684,0.0,0.0,0.0,-96.99531448878209,33.0297236,,
26,10.0,850000.0,24.33965783316976,0.0,0.0,0.0,-102.33557186699238,31.66324698998979,4.0,463324.0
27,20.0,750000.0,14.496195425675902,0.0,0.0,0.0,-102.3373474032829,31.66191189381981,3.0,311113.0
28,10.5,450000.0,16.145095389211683,0.0,0.0,0.0,-102.3605065330196,31.80488430372985,5.0,0.0
29,35.77,7790270.0,48.07601076517114,0.0,0.0,0.0,-95.79891790765552,29.5348074,,0.0
30,12.3,2000000.0,8.647880008354136,0.0,0.0,35.23192173656703,-95.80565568917146,29.5203579,,0.0
31,131.4,2102400.0,50.08547224738246,0.0,0.0,0.0,-106.33818372897493,31.986572693751896,,0.0
32,24.0,8900000.0,27.530587073874056,0.0,0.0,0.0,-106.2651146035548,31.720816295994425,,0.0
33,43.43,324000.0,32.85073134953915,0.0,0.0,0.0,-98.5638267814996,26.2731001,,
34,11.83,7729722.0,83.61191612607328,0.0,0.0,0.0,-98.29932913343332,26.19626875,4.0,
35,40.0,398000.0,16.955764686683285,0.0,0.0,1.1198543422005895,-100.11587780308692,32.3738146,4.0,258032.0
36,10.0,393000.0,8.77141566891408,0.0,0.0,0.0,-99.72650827254262,32.3111028,3.0,442976.0
37,10.0,365000.0,13.17481078391548,0.0,0.0,1.783670837014968,-99.8701366333823,32.1562277,3.0,110100.0
38,360.0,1078200.0,16.991463824629,0.0,0.0,7.659161513727152,-100.10462980586848,32.111171299999995,,0.0
39,350.0,1000000.0,16.991463824629,0.0,0.0,7.659161513727152,-100.10462980586848,32.111171299999995,,0.0
40,421.0,1798250.0,38.598501649437424,0.0,0.0,28.291293076098807,-99.84933746753654,32.1155771,,289358.0
41,210.0,945000.0,48.05697057149114,0.0,0.0,1.4158241011581962,-99.85892993169888,32.12354715,,289358.0
42,313.19,750000.0,18.78853486605984,3.728456110771262,0.0,4.314524966007907,-99.7475147614022,32.1172344,,0.0
43,14.0,140000.0,5.278777523475988,0.0,0.0,0.0,-99.92223806878238,32.2234775,,106752.0
44,18.63,300000.0,8.363951435678029,0.0,0.0,0.0,-99.74688449923948,32.36482285,,89671.0
45,10.77,1090000.0,11.740010103336507,0.0,0.0,4.531808584934306,-99.82288862846488,32.2903491,3.0,390217.0
46,25.0,479000.0,21.05793141113132,0.0,0.0,0.0,-99.90014176360398,32.3348409,2.0,155608.0
47,15.0,147500.0,23.43317106225389,0.0,0.0,0.0,-99.99646722870352,32.4634686,2.0,45183.0
48,269.0,872500.0,26.1934050655166,0.0,0.0,0.0,-100.0940502613881,32.41113815,,0.0
49,246.0,480753.0,11.719763184608462,0.0,0.0,1.9994189676871044,-99.91391882251864,32.194255,,0.0
